tap,xc,surface,cp0,cp6,cpm4
0,0.00,LE,1.02,0.75,0.89
1,0.05,Upper,-0.20,-1.43,0.27
2,0.05,Lower,-0.27,0.61,-0.96
3,0.10,Upper,-0.20,-1.37,0.07
4,0.10,Lower,-0.27,0.27,-0.68
5,0.15,Upper,-0.20,-0.61,0.00
6,0.15,Lower,-0.27,0.20,-0.55
7,0.20,Upper,-0.20,-0.61,0.00
8,0.20,Lower,-0.27,0.20,-0.48
9,0.30,Upper,-0.14,-0.48,-0.07
10,0.30,Lower,-0.20,0.20,-0.41
11,0.40,Upper,-0.20,-0.34,-0.07
12,0.40,Lower,-0.20,0.14,-0.41
13,0.50,Upper,-0.20,-0.20,-0.14
14,0.50,Lower,-0.20,0.07,-0.34
15,0.60,Upper,-0.20,-0.14,-0.20
16,0.60,Lower,-0.20,0.07,-0.27
17,0.70,Upper,-0.20,-0.07,-0.14
18,0.70,Lower,-0.20,0.07,-0.20
19,0.80,Upper,-0.20,-0.07,-0.07
20,0.80,Lower,-0.20,0.07,-0.20
