tap,x,surface,H_0deg,H_6deg,H_minus4deg
0,0,LE,121,125,123
1,7.5,Upper,139,157,132
2,7.5,Lower,140,127,150
3,15,Upper,139,156,135
4,15,Lower,140,132,146
5,22.5,Upper,139,145,136
6,22.5,Lower,140,133,144
7,30,Upper,139,145,136
8,30,Lower,140,133,143
9,45,Upper,138,143,137
10,45,Lower,139,133,142
11,60,Upper,139,141,137
12,60,Lower,139,134,142
13,75,Upper,139,139,138
14,75,Lower,139,135,141
15,90,Upper,139,138,139
16,90,Lower,139,135,140
17,105,Upper,139,137,138
18,105,Lower,139,135,139
19,120,Upper,139,137,137
20,120,Lower,139,135,139
