tap,p0,p6,pm4
0,1187.01,1226.25,1206.63
1,1363.59,1540.17,1294.92
2,1373.40,1245.87,1471.50
3,1363.59,1530.36,1324.35
4,1373.40,1294.92,1432.26
5,1363.59,1422.45,1334.16
6,1373.40,1304.73,1412.64
7,1363.59,1422.45,1334.16
8,1373.40,1304.73,1402.83
9,1353.78,1402.83,1343.97
10,1363.59,1304.73,1393.02
11,1363.59,1383.21,1343.97
12,1363.59,1314.54,1393.02
13,1363.59,1363.59,1353.78
14,1363.59,1324.35,1383.21
15,1363.59,1353.78,1363.59
16,1363.59,1324.35,1373.40
17,1363.59,1343.97,1353.78
18,1363.59,1324.35,1363.59
19,1363.59,1343.97,1343.97
20,1363.59,1324.35,1363.59
